user,recipe,rating
John,Ponche Navideño (Mexican Christmas Punch),3
John,"Creamy Gluten-Free Corn, Chicken, and Rice Casserole",3
John,Pork and Vegetable Crispy Baked Egg Rolls,2
John,No Bake Baileys Mousse Pie,3
John,Easy Mexican Chicken and Rice Casserole,1
John,Baked Garlic Butter Shrimp Scampi,4
John,One-Pan Garlic-Parmesan Asparagus,4
John,Sheet Pan Honey Balsamic Pork Chops and Vegetables,4
John,5-Minute Frozen Yogurt,3
John,Easy Mashed Potatoes,4
Anjali,"Vegan Spinach, Mushroom, and Red Pepper Quiche",3
Anjali,Clean Eating Turkey Pesto Feta Meatballs,2
Anjali,Jamie Oliver's Vegetarian Pithivier Pie,4
Anjali,Keto Italian Meatballs,4
Anjali,Simple Baked Chicken Leg Drumsticks,3
Anjali,Navy Bean and Ham Soup,3
Anjali,Crispy Black Bean Tacos with Feta and Lime,1
Anjali,Favorite Indian Lentils and Spinach (Dal Palak),3
Anjali,Loaded Baked Potatoes,1
Anjali,The BEST Slow Cooker Chicken Pot Pie,3
Ava,Southwestern Baked Tilapia,1
Ava,Peppered Pork Tenderloin,4
Ava,Herbed Garlic Bread,3
Ava,S'mores Nachos,3
Ava,Cottage Pie,3
Ava,Mad Scientist Halloween Kids Drinks,3
Ava,Barbecue Baked Chicken Legs,5
Ava,5 Ingredient Healthy Yogurt Breakfast Bowls,3
Ava,Easy Baked Spaghetti,3
Ava,Brown Sugar Glazed Pork Chops,1
Julian,Roasted Sweet Potato and Sautéed Kale Salad with Kale Stem Dressing,2
Julian,Southwestern Baked Tilapia,4
Julian,Rachael Ray's Southwestern Chili Con Queso Pasta Bake,4
Julian,Tamarind Malaysian Lamb Ribs with Fish-Salt Potatoes,4
Julian,Foolproof Instant Pot White Rice,2
Julian,Beer Braised Bratwurst and Onions,1
Julian,Pork Belly Burnt Ends,3
Julian,Chicken and Tater Tot Hotdish,2
Julian,Easy Baked Ziti,4
Julian,Balsamic Grilled Flank Steak and Vegetables,4
Max,Chirchi,5
Max,Creamy Tuscan Shrimp and Scallops,3
Max,Easy 5-Ingredient Chicken Enchiladas,5
Max,Sheet Pan Eggplant Parmesan,2
Max,Bang Bang Zucchini,2
Max,Rachael Ray's Southwestern Chili Con Queso Pasta Bake,2
Max,Sheet Pan Chicken Parmesan Dinner,3
Max,Sheet Pan Pork Chops with Sweet Potatoes and Apples,1
Max,Winter Comfort Bowl with Curry-Spiced Chickpeas,1
Max,Healthy Breakfast Strawberry Banana Smoothie,2
Catherine,Oven-Braised Beef Brisket,4
Catherine,Creamy Vegan Cauliflower Soup with Garlic + Rosemary,4
Catherine,Hearty Italian Beef and Vegetable Soup,2
Catherine,The BEST Green Bean Casserole,4
Catherine,Turkey Stuffed Peppers,3
Catherine,Savory Butternut Squash Casserole,2
Catherine,Palestinian Sumac Chicken Rolls (Musakhan),4
Catherine,Zucchini Frittata with Parmesan and Sautéed Onions,2
Catherine,Quick & Easy Strawberry Jam,4
Catherine,"Braised Chickpeas with Tomato, Spinach, and Feta",2
Duncan,Southern Shrimp and Grits,3
Duncan,"Vegan Quinoa, Spinach, and Mushroom Stuffed Acorn Squash",4
Duncan,Best Spicy Sweet Potato Fries ,4
Duncan,Green Juice,1
Duncan,Chicken Tinga Tacos,2
Duncan,Crispy Panko-Parmesan Chicken Breasts,2
Duncan,Black and Blue Cobbler,4
Duncan,Vegan Black Bean Enchiladas,4
Duncan,Greek Quinoa Bowls with Ground Lamb,3
Duncan,Cheesy Spinach-Artichoke Stuffed Chicken Breasts,2
Joel,Amazing Four-Cheese Mac and Cheese,3
Joel,Baked Cod with Crunchy Panko Crust,3
Joel,Boneless Pork Loin Roast with Herbed Pepper Rub,3
Joel,Honey Balsamic Glazed Brussels Sprouts,1
Joel,Green Juice,1
Joel,Spice-Rubbed Chicken Pan Roast with Sweet Potatoes,3
Joel,Chicken Tenders,3
Joel,Jamie Oliver's Vegetarian Pithivier Pie,2
Joel,Ground Beef Dirty Rice,3
Joel,"Braised Chickpeas with Tomato, Spinach, and Feta",4
Ellie,Easy Keto Bacon-Garlic Asparagus,3
Ellie,Sheet Pan Pork Chops with Sweet Potatoes and Apples,5
Ellie,Healthy Breakfast Strawberry Banana Smoothie,4
Ellie,Broiled Salmon with Zesty Cabbage Slaw,1
Ellie,Perogies,4
Ellie,Mediterranean White Bean and Tuna Salad,1
Ellie,Three-Bean Weight Watchers Chili | ZERO Points,3
Ellie,Southern Baked Macaroni & Cheese!,4
Ellie,Bistecca alla Fiorentina,2
Ellie,Cheesy Garlicky Breadsticks,2
